artistName,trackName,Minutes Played
Taylor Swift,this is me trying,3.25
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2.04
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),1.18
Taylor Swift,cardigan,3.99
Taylor Swift,tolerate it,4.09
Taylor Swift,Love Story,3.3
Taylor Swift,Love Story,1.03
Céline Dion,I'm Alive,3.5
Céline Dion,Right In Front of You,4.23
Céline Dion,"Rain, Tax (It's Inevitable)",0.04
Céline Dion,Have You Ever Been In Love,0.28
Céline Dion,Have You Ever Been In Love,4.14
Céline Dion,"Rain, Tax (It's Inevitable)",1.33
Céline Dion,A New Day Has Come - Radio Remix,2.35
Céline Dion,Ten Days,0.31
Céline Dion,Ten Days,0.08
Céline Dion,Ten Days,0.53
Céline Dion,I Surrender,0.02
Céline Dion,Goodbye's (The Saddest Word),1.79
Céline Dion,I Surrender,0.06
Céline Dion,Prayer,1.07
Céline Dion,At Last,1.04
Céline Dion,Super Love,1.05
Céline Dion,Sorry for Love,2.59
Céline Dion,"Aún existe amor - Spanish version of ""L'amour existe encore""",1.24
Céline Dion,When the Wrong One Loves You Right,0.06
Céline Dion,The Greatest Reward,0.02
Céline Dion,The Greatest Reward,2.12
Céline Dion,When the Wrong One Loves You Right,2.85
Céline Dion,A New Day Has Come,0.11
Céline Dion,A New Day Has Come,0.02
Céline Dion,Nature Boy,0.1
Céline Dion,Nature Boy,2.99
Céline Dion,The Greatest Reward,1.18
Céline Dion,The Reason,3.14
Céline Dion,Immortality (feat. Bee Gees),3.91
Céline Dion,Treat Her Like a Lady,0.15
Céline Dion,Why Oh Why,3.69
Céline Dion,Love Is On the Way,2.51
Céline Dion,Love Is On the Way,0.0
Barbra Streisand,Tell Him (Duet with Barbra Streisand),0.41
Céline Dion,Amar haciendo el amor,0.04
Céline Dion,Amar haciendo el amor,0.03
Céline Dion,When I Need You,0.01
Barbra Streisand,Tell Him (Duet with Barbra Streisand),2.42
Céline Dion,When I Need You,1.76
Céline Dion,Miles to Go (Before I Sleep),2.17
Céline Dion,Us,1.56
Céline Dion,Just a Little Bit of Love,0.15
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",0.08
Céline Dion,Where Is the Love,2.0
Céline Dion,Be the Man (On This Night) - English Version,1.81
Céline Dion,I Hate You Then I Love You (Duet with Luciano Pavarotti),2.37
Céline Dion,I Hate You Then I Love You (Duet with Luciano Pavarotti),0.01
Céline Dion,Let's Talk About Love,0.26
Céline Dion,Let's Talk About Love,3.1
Céline Dion,Make You Happy,1.09
Céline Dion,Seduces Me,1.06
Céline Dion,All By Myself,1.12
Céline Dion,(You Make Me Feel Like) A Natural Woman,0.07
Céline Dion,Declaration Of Love,0.79
Taylor Swift,Red,3.72
Taylor Swift,I Almost Do,4.08
Taylor Swift,All Too Well,0.56
Taylor Swift,willow,3.58
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",4.67
Taylor Swift,Enchanted,5.87
Ed Sheeran,Perfect,4.39
Céline Dion,Where Does My Heart Beat Now,4.55
Taylor Swift,evermore (feat. Bon Iver),5.07
Céline Dion,It's All Coming Back to Me Now,7.61
Taylor Swift,Tim McGraw,3.87
Céline Dion,The Power of Love,2.58
Céline Dion,The Power of Love,0.11
Céline Dion,The Power of Love,3.04
Ed Sheeran,Perfect,4.39
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",4.67
Taylor Swift,Red,0.66
Taylor Swift,Red,3.06
Ed Sheeran,Shape of You,3.9
Taylor Swift,Tim McGraw,3.87
Taylor Swift,willow,3.58
Taylor Swift,Love Story,3.92
Céline Dion,Where Does My Heart Beat Now,3.28
Ed Sheeran,Shape of You,3.9
Ed Sheeran,Afterglow,3.09
Ed Sheeran,Thinking out Loud,4.69
Ed Sheeran,Perfect,4.39
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,1.53
Taylor Swift,Dress,0.26
Taylor Swift,Dress,0.0
Taylor Swift,Dancing With Our Hands Tied,1.49
Taylor Swift,This Is Why We Can't Have Nice Things,0.65
Taylor Swift,tolerate it,0.04
Taylor Swift,champagne problems,2.01
Taylor Swift,‘tis the damn season,0.03
Taylor Swift,coney island (feat. The National),4.16
Taylor Swift,ivy,0.73
Céline Dion,The Power of Love,0.04
Céline Dion,It's All Coming Back to Me Now,0.04
Céline Dion,It's All Coming Back to Me Now,0.07
Ed Sheeran,Perfect,0.16
Ed Sheeran,Afterglow,0.02
Miley Cyrus,The Climb,1.04
Taylor Swift,willow,0.0
Ed Sheeran,Shape of You,0.04
Taylor Swift,willow,0.33
DJ Snake,Let Me Love You - R3hab Remix,0.0
DJ Snake,Let Me Love You,3.43
Justin Bieber,Mistletoe,0.13
Justin Bieber,Mistletoe,0.98
Justin Bieber,Anyone,1.49
Justin Bieber,Lonely (with benny blanco),0.93
Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),1.41
Justin Bieber,All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,0.03
Justin Bieber,All I Want Is You,1.86
Justin Bieber,All Around Me,0.57
Taylor Swift,The Archer,0.47
Taylor Swift,I Think He Knows,2.89
Taylor Swift,Lover,0.74
Ed Sheeran,Shape of You,1.93
Taylor Swift,right where you left me - bonus track,1.2
Taylor Swift,it’s time to go - bonus track,0.81
Céline Dion,All By Myself,0.11
Taylor Swift,"no body, no crime (feat. HAIM)",2.43
Taylor Swift,Love Story,0.06
Shawn Mendes,Wonder,0.51
Céline Dion,The Power of Love,3.3
